C4	3.30	5.97	180.00	.1uF, 6.3V	C0603
FB1	3.30	7.75	0.00		0603
FB2	4.52	10.21	180.00		0603
JP.USB.DC	6.35	2.92	180.00	JUMPER-SMT_2_NC_PASTE	SMT-JUMPER_2_LG_NC_PASTE_NO-SILK
JP5	102.36	15.62	270.00	JUMPER-SMT_3_1-NC_PASTE_SILK	SMT-JUMPER_3_1-NC_PASTE_SILK
J_MIC	120.01	19.18	270.00	54-00174	54-00174_TEN
T.A.3	11.18	29.08	180.00	TPTP08R	TP08R
T.A.5	92.84	13.97	0.00	TPTP08R	TP08R
T.B.3	11.18	30.73	180.00	TPTP08R	TP08R
T.B.5	92.84	11.81	0.00	TPTP08R	TP08R
T.B1.3	76.20	31.50	0.00	TPTP08R	TP08R
T.B1.5	76.71	13.46	0.00	TPTP08R	TP08R
T.B2.3	73.53	31.24	180.00	TPTP08R	TP08R
T.B2.5	73.15	14.35	180.00	TPTP08R	TP08R
T.C.3	11.05	32.51	0.00	TPTP08R	TP08R
T.C.5	91.06	13.97	0.00	TPTP08R	TP08R
T.CL.3	83.31	27.43	180.00	TPTP08R	TP08R
T.CL.5	88.65	17.53	90.00	TPTP08R	TP08R
T.D.3	11.05	34.16	0.00	TPTP08R	TP08R
T.D.5	91.06	11.81	0.00	TPTP08R	TP08R
T.G1.3	74.93	32.89	0.00	TPTP08R	TP08R
T.G1.5	75.69	14.86	0.00	TPTP08R	TP08R
T.G2.3	73.41	33.91	180.00	TPTP08R	TP08R
T.G2.5	73.15	16.13	180.00	TPTP08R	TP08R
T.L.3	68.20	34.80	180.00	TPTP08R	TP08R
T.L.5	74.68	1.65	0.00	TPTP08R	TP08R
T.O.3	70.23	34.04	90.00	TPTP08R	TP08R
T.O.5	74.68	3.56	0.00	TPTP08R	TP08R
T.R1.3	77.47	29.97	0.00	TPTP08R	TP08R
T.R1.5	77.85	12.07	0.00	TPTP08R	TP08R
T.R2.3	73.53	29.34	180.00	TPTP08R	TP08R
T.R2.5	73.15	12.57	180.00	TPTP08R	TP08R
U3	7.49	7.24	180.00	TPD4S012DRY	SON-6(TI)-DRY
